dataset,comparison,scope,metric,n,a_mean,b_mean,delta,ci_lo,ci_hi,p,verdict,p_bh,verdict_bh
yelp,HMT-HM[1.5b],POOLED,ndcg@5,859,0.2355046614002597,0.26458197555265217,-0.029077314152392484,-0.05040806033873624,-0.007060031938926453,0.0076,hurts*,0.057,ns
yelp,HMT-HM[1.5b],POOLED,hr@5,859,0.36437718277066355,0.4481955762514552,-0.08381839348079162,-0.11757857974388825,-0.051222351571594875,0.0,hurts*,0.0,hurts*
yelp,HMT-HM[3b],classic,ndcg@5,369,0.33369487446149393,0.3283055268541133,0.00538934760738066,-0.027528713949116514,0.03872697519572363,0.742,ns,0.7764,ns
yelp,HMT-HM[3b],classic,hr@5,369,0.4715447154471545,0.4905149051490515,-0.018970189701897018,-0.06504065040650407,0.02710027100271003,0.496,ns,0.6763636363636363,ns
yelp,HMT-HM[3b],cold_start_user,ndcg@5,272,0.35765209701333833,0.3408907917493596,0.016761305263978808,-0.022419208116217875,0.05499908373201786,0.372,ns,0.503,ns
yelp,HMT-HM[3b],cold_start_user,hr@5,272,0.5073529411764706,0.5110294117647058,-0.003676470588235294,-0.0625,0.05514705882352941,0.948,ns,1.0,ns
yelp,HMT-HM[3b],cold_start_item,ndcg@5,125,0.36266845358935557,0.3062891637578502,0.05637928983150533,-0.00398247039011498,0.11870812016922769,0.0692,ns,0.1482857142857143,ns
yelp,HMT-HM[3b],cold_start_item,hr@5,125,0.544,0.464,0.08,0.0,0.16,0.0692,ns,0.14550000000000002,ns
yelp,HMT-HM[3b],evolving_interest,ndcg@5,93,0.27024475999316466,0.2803350147066609,-0.010090254713496229,-0.06797330007941722,0.0478777772347816,0.752,ns,0.7764,ns
yelp,HMT-HM[3b],evolving_interest,hr@5,93,0.41935483870967744,0.41935483870967744,0.0,-0.08602150537634409,0.08602150537634409,1.0,ns,1.0,ns
yelp,HMT-HM[3b],POOLED,ndcg@5,859,0.3386275884073959,0.3238932905732763,0.014734297834119576,-0.007225352417493833,0.03613416237264462,0.178,ns,0.267,ns
yelp,HMT-HM[3b],POOLED,hr@5,859,0.48777648428405124,0.48544819557625146,0.002328288707799767,-0.02910360884749709,0.033760186263096625,0.9124,ns,1.0,ns
yelp,HMT-HM[7b],classic,ndcg@5,369,0.3826296562646898,0.4262725934157897,-0.04364293715109982,-0.08666169405672394,0.0014455854631973024,0.0588,ns,0.147,ns
yelp,HMT-HM[7b],classic,hr@5,369,0.5745257452574526,0.6314363143631436,-0.056910569105691054,-0.11653116531165311,0.0027100271002710027,0.0684,ns,0.14550000000000002,ns
